Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,IT,ZW,,4,shoes,,,W
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AG,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AO,ZW,,,1,ivory carvings,,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,,,1,ivory carvings,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,,,6,leather items,,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,,,24,tusks,kg,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AR,ZA,,2,,tusks,,P,W
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,BW,,,1,ivory carvings,sets,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,KE,1,,ivory carvings,sets,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,XX,1,,ivory carvings,sets,P,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,ZW,,1,leather products (small),,,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,DE,KE,,1600,ivory carvings,sets,T,O
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,DE,KE,23,,ivory carvings,sets,T,
1990,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,DE,XX,,700,ivory carvings,g,T,O
